Title,Price,Area,Location,Listing ID,Last Updated,Property Type,Width,Length,Bedrooms,Bathrooms,Floors,Position,Direction,Alley Width,Road Type,Description,Latitude,Longitude,VIP Account,Avatar,Agent Role,Agent Name,Agent Listing Count,Province,Property Type Slug,Scraped At,Last Updated Date
"Bán đất xây tòa nhà 2 hầm 20 tầng nổi tổng 193 căn, đã có giấy phép xây dưng, cần tìm nhà đầu tư",115000.0,1018.0,"đường Kha Vạn Cân,Phường Linh Trung,Quận Thủ Đức,TP. Hồ Chí Minh",1474008.0,3 tuần trước,Đất,10.0,60.0,,,,,,,,"Bán đất 1274 - 1276 Kha Vạn Cân xây building CHDV 10x60m nở 25m CN 1018m² đất xây dựng 2 hầm 20 tầng.Dự án khách sạn - căn hộ dịch vụ.Địa chỉ: 1274 - 1276 Kha Vạn Cân, P. Linh Trung, Tp. Thủ Đức (giáp Phạm Văn Đồng).+ Diện tích: 10 x 60,74m, nở hậu: 25,27m, công nhận: 1.018m đất.+ Hiện trạng đất trống & có GPXD: 2 tầng hầm + 20 tầng nổi (giấy phép xây dựng đã được duyệt 23/05/2023).+ Tổng 193 căn, diện tích từ 30 - 45m - Hồ sơ pháp lý đầy đủ. Tổng diện tích sàn: 10.798m.- Giá 115 tỷ.Xem thêm",,,False,0,Môi giới,Trần Chánh Tín,5.0,tp-ho-chi-minh,dat-tho-cu,2025-09-30 20:01:05,09/09/2025 20:01
"Bán nhanh căn moonlight residences 2pn. giá ưu đãi 3.6 tỷ có hđmb, đầu tư sinh lời. 0939 720 ***",3600.0,68.0,"đường Đặng Văn Bi,Phường Bình Thọ,Quận Thủ Đức,TP. Hồ Chí Minh",1493264.0,2 tuần trước,Căn hộ chung cư,,,,,,,Tây Nam,,,"Bán căn hộ chung cư phường Bình Thọ, quận Thủ Đức, block A chung cư Moonlight.Bên em đang có giỏ hàng nhiều căn cho quý khách tham khảo ạ!- Full nội thất cao cấp vừa làm xong mới toanh.- Tiện ích nội ngoại khu đầy đủ như hồ bơi phòng tập gym, rạp phim.- Bảo vệ 24/24 an ninh tốt.* Giá bán: Thoả thuận (bớt lộc cho khách thiện chí).- Ban công hướng Tây Nam - Tây Bắc.- View Đặng Văn Bi.LH .Xem thêm",,,False,1,Môi giới,HOÀNG THÀNH,47.0,tp-ho-chi-minh,can-ho-chung-cu,2025-09-30 20:59:04,16/09/2025 20:59
"Bán đất tại lê văn lương, hxh 6m, phước kiển, nhà bè, ngay làng đại học acb, nhỉnh 50tr/m2",7400.0,140.0,"Đường Lê Văn Lương,Xã Phước Kiển,Huyện Nhà Bè,TP. Hồ Chí Minh",1359756.0,1 tuần trước,Đất,7.0,20.0,,,,,,,,"- DT 7x20m, thuận lợi xây CHDV.- Ngay làng đại học ACB, GS Nhà Bè, Lavida, KDC Lập Phúc, Sadeco Phước Kiển.- Giáp Quận 7, gần Quận 4, Quận 1, Quận 3, Quận 5, Quận 2, Quận 9.- Gần Nguyễn Hữu Thọ, Nguyễn Văn Linh, Đào Sư Tích, Nguyễn Bình, Phạm Hữu Lầu, Huỳnh Tấn Phát, Nguyễn Thị Thập.- Sổ riêng, công chứng trong ngày.- Liên hệ Mr Bình .Xem thêm",,,False,0,Môi giới,Đặng Thanh Bình,8.0,tp-ho-chi-minh,dat-tho-cu,2025-09-30 19:44:41,23/09/2025 19:44
"Cập nhật giỏ hàng căn hộ d aqua giá tốt nhất quý ii/2025, quý iv/2025 bàn giao nhà",35000.0,68.0,"Đường Bến Bình Đông,Phường 14,Quận 8,TP. Hồ Chí Minh",1351680.0,2 tháng trước,Căn hộ chung cư,,,2.0,1.0,,Đường chính,,,,"Giỏ hàng căn hộ D - Aqua - Bến Bình Đông - Phường 14 - Quận 8.- Bàn giao Quý 4 năm 2025.- Bàn giao hoàn thiện cơ bản cao cấp.- Đa dạng diện tích - tầng - view.+ 2PN 1WC - 2,950 tỷ.+ 2PN 2WC - 3.5 tỷ - view hồ bơi, giá mềm, bao đẹp, bao rẻ.- Ngoài ra có căn hộ mini sân vườn chỉ 3,650 tỷ.- Đầy đủ các tiện ích nội ngoại khu.Gần chợ siêu thị, trung tâm hành chính Quận 8.- Dễ dàng duy chuyển qua Quận 5,6, 1.- Ngay trục đường chính Võ Văn Kiệt.Liên hệ em để được tư vấn miễn phí - cam kết giá thật nhà thật không đăng ảo mất thời gian các bên ạ.Xem thêm",,,False,0,Môi giới,Nguyễn Hữu Phước,5.0,tp-ho-chi-minh,can-ho-chung-cu,2025-09-30 21:20:44,01/08/2025 21:20
Bán đất 1083.8m² tại Xã Long Hoà Huyện Dầu Tiếng,2900.0,1083.8,"Xã Long Hòa,TP. Hồ Chí Minh(Mới)",1284694.0,1 tháng trước,Đất,,,,,,,,,,,11.354738685148,106.47375762463,False,1,Môi giới,Huy nguyễn,47.0,tp-ho-chi-minh,dat-tho-cu,2025-09-30 20:14:15,31/08/2025 20:14
Bán nhà 9 TẦNG CĂN Góc Mặt Tiền Tân Mỹ Quận 7,130000.0,200.0,"Phường Tân Mỹ,TP. Hồ Chí Minh(Mới)",1511664.0,2 phút trước,Nhà riêng,10.0,20.0,30.0,31.0,9.0,,,,,NHÀ 9 TẦNG GÓC TÂN MỸ Q7 ĐỐI DIỆN CHỢ VIEW LANDMARK 81 – CẠNH PHÚ MỸ HƯNGDiện Tích 10×20m² 200m² HĐ thuê 300TR/ThángNhà gồm 1 hầm 1 lửng 6 lầu STTừ tầng lửng đến tầng 3 làm studio Áo cướiTừng 4 - 6 Phòng KaraokeTầng 7 làm xưởng may áo cướiTầng 8 ở 30pn 31wcSân thượng thiết kế chill ngoài trời.Nhà có thang máy full tầngTích hợp ở kinh doanh đa ngành nghề.Giá 130 ty thương lượngLiên hệ 086 859 6068 xem nhà,10.736052955221,106.71804529847,False,1,Môi giới,Lê Minh Cảnh,894.0,tp-ho-chi-minh,nha-mat-pho-mat-tien,2025-09-30 18:29:34,30/09/2025 18:27
"Bán đất giá rẻ Củ Chi , bán rẻ lô đất mặt tiền đường nhựa, 2 sẹc Nguyễn Thị Lắng, xã Tân Phú Trung.",2300.0,212.0,"Đường Nguyễn Thị Lắng (Liên Xã Bàu Hưng Lợi),Xã Củ Chi,TP. Hồ Chí Minh(Mới)",1254739.0,3 giờ trước,Đất,6.0,35.0,,,,Trong hẻm,,4.0,Đường đá,"Chủ cần tiền lấy vợ cho con trai nên bán gấp lô đất mặt tiền trải đá, DT 212m2  có 150m2 thổ cư, xã Tân Phú Trung, huyện Củ Chi, Hồ Chí Minh.– Diện tích: ngang 6m x 35m dài (tổng 212m2),  có 150m2 thổ cư.– Vị Trí: Nằm 2 sec ngắn đường Nguyễn Thị Lắng, cách Nguyễn Thị Lắng 200m, đường xe ô tô né nhau, ngay khu dân cư đông đúc, UBND, Chợ, Trường học, các công ty, xí nghiệp lớn kề bên…tiện mua để xây nhà ở, đầu tư sinh lời …..– Pháp lý: Sổ hồng riêng.– Giá: 2 tỷ 300 triệu đồngTham khảo thêm sản phẩm tại: https://nhadatvanphat.vn/Cám ơn đã đọc tin và mong tiếp khách thiện chí./.",10.9554167,106.5508333,False,1,Môi giới,Trang Vạn Phát,137.0,tp-ho-chi-minh,dat-tho-cu,2025-09-30 19:21:46,30/09/2025 16:21
"ĐẤT ĐẸP – GIÁ TỐT  - CẦN BÁN LÔ ĐẤT  TẠI thới tây 2, xã tân hiệp. Huyện hoc môn , HCM",3200.0,83.0,"Đường Thới Tây 2,Xã Tân Hiệp,Huyện Hóc Môn,TP. Hồ Chí Minh",1323821.0,2 tháng trước,Đất,,,,,,Trong hẻm,Nam,5.0,Đường nhựa,"ĐẤT ĐẸP – GIÁ TỐT  - CẦN BÁN LÔ ĐẤT  TẠI thới tây 2, xã tân hiệp. Huyện hoc môn , HCM** Diện tích: 83.4 m2- Giá bán: 3 tỷ 2  ( có thương lượng  )- Tiện ích xung quanh : gần  trường học, chợ...- Khu dân cư đông, thân thiện, an ninh đảm bảo.-Phù hợp đầu tư sinh lời , giao thông thuận tiện- Pháp lý: SỔ HỒNG RIÊNG, thủ tục sang tên nhanh chóng- Tiềm năng lớn: Đất luôn tăng giá theo tình hình BĐS khu vực, đảm bảo sinh lờiLiên hệ cường :  0704703025  Chính chủ",,,False,0,Môi giới,Chính Chủ,56.0,tp-ho-chi-minh,dat-tho-cu,2025-09-30 20:34:05,01/08/2025 20:34
Bán đất 282.6m² 750 triệu tại Xã An Linh Huyện Phú Giáo,750.0,282.6,"Xã An Long,TP. Hồ Chí Minh(Mới)",1221510.0,1 tháng trước,Đất,,,,,,,,,,,11.342938275825,106.72941835298,False,0,Môi giới,Đông Khả Huyên,226.0,tp-ho-chi-minh,dat-tho-cu,2025-09-30 19:36:54,31/08/2025 19:36
Cần bán căn hộ chung cư tại Lavida Plus (Tin Hết Hạn),2000.0,36.0,"Phường Tân Phong,Quận 7,TP. Hồ Chí Minh",1328251.0,2 tháng trước,Căn hộ chung cư,,,,2.0,,,,,,Cần bán căn hộ tại Lavida PlusDiện tích : 36 m2WC : 1Nội thất cơ bảnTiện ích nội và ngoại khu đầy đủ,,,False,0,Môi giới,Hoai Phu Tran,9.0,tp-ho-chi-minh,can-ho-chung-cu,2025-09-30 21:23:24,01/08/2025 21:23
"Bán đất 1515m² ngang 17,6m giá 9.5 tỷ tại Xã Long Nguyên Huyện Bàu Bàng giá thương lượng nhẹ",9500.0,1515.0,"Phường Long Nguyên,TP. Hồ Chí Minh(Mới)",1276684.0,21 giờ trước,Đất,17.0,,,,,,,,,,11.177655,106.5633175,False,1,Môi giới,Lộc 68,1066.0,tp-ho-chi-minh,dat-tho-cu,2025-09-30 19:28:56,29/09/2025 22:28
Top BĐS rẻ 6 x 20m Trần Đình Xu trung tâm Quận 1 TP.HCM,21600.0,120.0,"Đường Trần Đình Xu,Phường Cô Giang,Quận 1,TP. Hồ Chí Minh",1060089.0,1 giờ trước,Nhà riêng,6.0,20.0,10.0,10.0,3.0,Trong hẻm,Đông Bắc,4.0,Đường bê tông,"- Căn duy nhất giá rẻ tọa lạc gần ngã tư Trần hưng Đạo - Trần Đình Xu Q1 trung tâm TP.HCM- Gần trung tâm thương mại, trường học, ngân hàng, chợ Bến Thành, nhà hát Lớn Thành Phố- Giao thông thuận tiện, DT: 6 x 20m gồm 1 trệt 2 lầu, 1 phòng khách 10 phòng ngủ, 10WC, hướng đông bắc, sinh khí, tiện cho thuê mở văn phòng và căn hộ dịch vụ.- Pháp lý: sổ hồng, giá chốt nhanh cho khách thiện chí 21.2 tỷ (bớt lộc vui vẻ)- Hãy gọi ngay anh Sơn 0817.40.9696 để được hỗ trợ uy tín, nhiệt tình, tận tâm.",,,False,1,Môi giới,Phạm Sơn,222.0,tp-ho-chi-minh,nha-mat-pho-mat-tien,2025-09-30 18:32:37,30/09/2025 17:32
"Đất mt đường hoàng hữu nam, lê văn việt quận 9 353m2 giá 41 tỷ (tl) vị trí vàng, sổ hồng riêng",41000.0,353.0,"Đường Hoàng Hữu Nam,Phường Long Thạnh Mỹ,Quận 9,TP. Hồ Chí Minh",1360445.0,3 tuần trước,Đất,12.0,29.4,,,,Đường chính,,,,"Đất mặt tiền đường Hoàng Hữu Nam, Lê Văn Việt Quận 9 (TP. Thủ Đức) 353m² giá 41 tỷ (TL) vị trí vàng, sổ hồng riêng.Vị trí: Mặt tiền đường Hoàng Hữu Nam, phường Long Thạnh Mỹ, Quận 9.Khu vực phát triển sôi động, liền kề Bến xe Miền Đông mới, tuyến Metro, Khu công nghệ cao, Vincom, Đại học Fulbright...Diện tích: 353m² (ngang 12m x dài 29.4m), đất vuông vức, đẹp.Hiện trạng: Đất trống, tiện xây dựng ngay, cách ngã 4 Lê Văn Việt chỉ 50m.Lợi thế:Mặt tiền đất lớn, vuông vức, đẹp dễ bố trí mặt bằng.Cạnh ngã tư đường lớn giao thông thuận tiện di chuyển khắp nơi.Khu vực dân cư đông đúc, an ninh Thích hợp xây biệt thự, căn hộ dịch vụ, văn phòng, showroom, hoặc đầu tư lâu dài.Cạnh chợ Long Thạnh Mỹ, Lê Văn Việt, Học viện Công An.Kế Vinhomes Grand Park, cộng hưởng những tiện ích bật nhất nơi đây..,Tiện ích xung quanh đầy đủ: Trường học các cấp, Bệnh viện, phòng khám, Khu thể thao, sân chơi trẻ em. Không thiếu gì.Pháp lý: Sổ hồng riêng, sang tên ngay.Giá bán: 41 tỷ (thương lượng chính chủ).Liên hệ ngay:  MR. Trung (Chuyên BĐS KV THỦ ĐỨC, Q9, Q2) để xem nhà, đất và làm việc chính chủ!Xem thêm",,,False,0,Môi giới,Trần Trung,146.0,tp-ho-chi-minh,dat-tho-cu,2025-09-30 20:01:32,09/09/2025 20:01
"CHÍNH CHỦ CHƯA QUA ĐẦU TƯ - BÁN NHÀ MTKD 20M Đ. TRẦN QUỐC THẢO, QUẬN 3 - GIANG GIANG:0901611116",24000.0,80.0,"Quận 3,TP. Hồ Chí Minh",1541801.0,6 ngày trước,Nhà riêng,4.3,20.0,,,4.0,Đường chính,Nam,20.0,Đường nhựa,"MẶT TIỀN KINH DOANH SẦM UẤT NHẤT Đ. TRẦN QUỐC THẢO, QUẬN 3🌻Diện tích: 80m2. Ngang 4,3m * 20m.🌻Kết cấu: 4 tầng.🌻Vị trí ngay góc ngã 3 giao với Kỳ Đồng - Xung quanh là các Bệnh viện - Toà nhà Văn phòng - Ngân hàng -....🌻Sẵn dòng tiền cho thuê mặt bằng: 25 triệu/tháng.🌻Pháp lý: hoàn công chuẩn chỉnh.🌻Chào: 24T - TL.💖GIANG GIANG: 0️⃣9️⃣0️⃣1️⃣6️⃣1️⃣1️⃣1️⃣1️⃣6️⃣",,,False,1,Môi giới,NGUYỄN GIANG,84.0,tp-ho-chi-minh,nha-mat-pho-mat-tien,2025-09-30 18:48:45,24/09/2025 18:48
Hot Deal!! Căn Hộ Sunrise Riverside - Tháp H | 2pn View đẹp - Giá Cực Tốt,4540.0,638.0,"Đường Nguyễn Hữu Thọ,Xã Phước Kiển,Huyện Nhà Bè,TP. Hồ Chí Minh",1516516.0,2 tuần trước,Căn hộ chung cư,,,2.0,2.0,,Đường chính,,,,"Diện tích : 63.8 m2 - Thiết kế: 2PN - 2WCGiá bán chỉ 4.54 tỷ Thanh toán chỉ từ 3.77 tỷCăn hộ tại Sunrise Riverside cực phẩm kết hợp hoàn hảo giữa không gian sống và nghỉ ngDự án 3 mặt giáp sông, đường chạy bộ, sân thể thao, shop thương mại sôi động, công viên nội khu xanh mátTiện ích nội khuCông viên cây xanh, khuôn viên tản bộ ven sông êm đềmPhòng gym yoga, hồ bơi tràn bờ, sân thể thao đa năngKhu thương mại, cửa hàng tiện lợi, nhà hàng café nội khuKhu vui chơi trẻ em, an ninh 24/7, thẻ từ thang máyTiện ích xung quanhGần ĐH RMIT, ĐH Tôn Đức ThắngBệnh viện FV, Tâm Đức chỉ 5 phútLotte Mart, Crescent Mall, Vivo City liền kềDi chuyển nhanh về Quận 1 Phú Mỹ Hưng Quận 7 chỉ 10-15 phútLiên hệ ngay: Mỹ Hạnh) để xem nhà trực tiếp và được tư vấn miễn phíĐặc điểm nổi bậtDiện tích :63.8m2Giá :4,54 tỷPhòng ngủ :2 phòngPhòng tắm :2 phòng",,,False,0,Môi giới,My Hanh,19.0,tp-ho-chi-minh,can-ho-chung-cu,2025-09-30 20:56:09,16/09/2025 20:56
Bán đất 4392.2m² giá 3.6 tỷ tại Xã Tân Nhựt Huyện Bình Chánh,3600.0,4392.2,"Xã Tân Nhựt,TP. Hồ Chí Minh(Mới)",1286698.0,1 tháng trước,Đất,85.0,28.0,,,,Trong hẻm,,,,"Bán đất hẻm đường Ổ Cu Kiến Vàng thuộc xã Tân Nhựt, huyện Bình Chánh, TP. Hồ Chí Minh.Tổng diện tích hơn 2940m² ngang 85m dài 28m . Đã có sổĐầu tư sinh lời ngay. Do chủ cần tiền nên bán nhanh- Cuối tuần gia đình bạn bè về đây ăn nhậu chơi thì tuyệt cú mèo, đó cũng là xu hướng của người thành phố muốn tránh cái nóng bức và hưởng không khí trong lành.Giá bán: 3.6ti thương lượng",10.701419716456,106.54251337051,False,1,Môi giới,Minh Thanh,340.0,tp-ho-chi-minh,dat-tho-cu,2025-09-30 20:13:44,31/08/2025 20:13
"The Gali – Căn hộ 2PN view đẹp, ban công kính, giá chỉ từ 3,94 tỷ – Vị trí vàng Nam Sài Gòn",3940.0,,"Huyện Nhà Bè,TP. Hồ Chí Minh",1490263.0,2 tuần trước,Căn hộ chung cư,,,2.0,2.0,,Đường chính,,,,"CĂN HỘ 2PN – 2WC | 63,54m² – GIÁ CHỈ TỪ 3,9 TỶTHE GALI – BLOCK MỚI NHẤT THUỘC DỰ ÁN KHẢI HOÀN PRIMEVị trí: Mặt tiền đường Lê Văn Lương, xã Nhơn Đức, Nhà Bè – liền kề Phú Mỹ Hưng, kết nối nhanh đến Quận 7, Quận 4, Quận 1.Thiết kế: Ban công kính cường lực hiện đại, tầm nhìn rộng thoáng, tối ưu ánh sáng tự nhiên. Không gian căn hộ tối ưu công năng, phù hợp cả ở và đầu tư.Diện tích: 63,54m²Tổng giá trị: khoảng 3,9 tỷ đồng (chưa bao gồm ưu đãi)Tiện ích nội khu:Hồ bơi muối khoáng duy nhất khu vựcCông viên cây xanh, đường dạo bộ, sân thể thao ngoài trờiClubhouse 3.000m²: gym, yoga, thư viện, trung tâm đào tạo tài năng trẻKhu BBQ, khu vui chơi trẻ em, siêu thị mini, an ninh 24/7Ưu đãi khi booking trước 09/06/2025:Chiết khấu đến 5%Tặng 1 lượng vàng SJCTặng gói nội thất hoàn thiện cao cấp trị giá hơn 2%Tặng máy lạnh và tủ đồ lớnLãi kép 1%/thángHỗ trợ vay ngân hàng đến 70%Pháp lý: Minh bạch, chủ đầu tư Khải Hoàn Land uy tínLiên hệ tư vấn & giữ chỗ: 0933.992 ***Hiện số – Ms. Ngân",,,False,0,Môi giới,,6323.0,tp-ho-chi-minh,can-ho-chung-cu,2025-09-30 20:54:54,16/09/2025 20:54
